epoch  best_pop  best_loss  best_acc  avg_fitness
1  19  0.9247  0.0  0.0
2  19  0.9383  0.0312  0.0296
3  19  0.8616  0.0  0.0
4  19  0.9186  0.0312  0.0296
5  19  0.8232  0.0312  0.0296
6  19  0.9206  0.0312  0.0312
7  19  0.886  0.0625  0.0594
8  19  0.8774  0.0312  0.0312
9  19  0.6273  0.0  0.0
10  19  0.7872  0.0938  0.0813
11  19  0.8493  0.0312  0.0296
12  19  0.747  0.0  0.0
13  19  0.9112  0.0312  0.0296
14  19  0.9566  0.0  0.0
15  19  0.9768  0.0  0.0
16  19  0.9152  0.0312  0.0312
17  19  0.8782  0.0  0.0
18  19  0.7903  0.0312  0.0281
19  19  0.9029  0.0312  0.0312
20  18  1.0031  0.0312  0.0265
21  19  0.9201  0.0312  0.0281
22  19  0.9269  0.0312  0.0296
23  19  0.8989  0.0  0.0
24  19  0.8523  0.0312  0.0265
25  19  0.9597  0.0312  0.0312
26  19  0.9318  0.0  0.0
27  19  0.8922  0.0312  0.0281
28  19  0.8715  0.0312  0.0281
29  19  0.8223  0.0625  0.0625
30  19  0.8543  0.0  0.0
31  19  0.9708  0.0  0.0
32  19  0.9426  0.0  0.0
33  19  0.932  0.0312  0.0312
34  19  0.3049  0.0  0.0
35  19  0.9172  0.0625  0.0609
36  19  0.9147  0.0  0.0
37  19  0.9001  0.0312  0.0296
38  19  0.5812  0.0312  0.0296
39  19  0.8706  0.0312  0.0312
40  19  0.891  0.0  0.0
41  19  0.8874  0.0312  0.0296
42  19  0.8877  0.0625  0.0609
43  19  0.8855  0.0312  0.0296
44  19  0.9157  0.0312  0.0281
45  19  0.9498  0.0  0.0
46  19  0.9114  0.0312  0.0296
47  19  0.8293  0.0625  0.0578
48  19  0.9762  0.0  0.0
49  19  0.8546  0.0938  0.0891
50  19  13.5404  0.0  0.0
51  19  0.9477  0.0  0.0
52  19  0.9271  0.0312  0.0281
53  19  0.8963  0.0312  0.0312
54  19  0.9045  0.0  0.0
55  19  0.9536  0.0  0.0
56  19  0.846  0.0625  0.0594
57  19  1.2219  0.0  0.0
58  19  0.9687  0.0  0.0
59  19  0.8949  0.0  0.0
60  19  0.9345  0.0  0.0
61  19  0.9698  0.0  0.0
62  19  0.8629  0.0625  0.0594
63  19  0.8264  0.0312  0.0281
64  19  0.9489  0.0312  0.0265
65  19  0.9464  0.0  0.0
66  19  0.9174  0.0  0.0
67  19  0.9282  0.0312  0.0312
68  18  0.9279  0.0312  0.0281
69  19  0.955  0.0312  0.0312
70  18  0.8707  0.0312  0.0281
71  19  0.9289  0.0  0.0
72  19  0.9273  0.0  0.0
73  19  0.8923  0.0  0.0
74  19  0.9349  0.0  0.0
75  19  0.7976  0.0  0.0
76  19  0.9519  0.0  0.0
77  19  0.9331  0.0  0.0
78  19  0.9071  0.0  0.0
79  19  0.9186  0.0  0.0
80  19  0.959  0.0  0.0
81  19  0.8281  0.0625  0.0578
82  19  0.918  0.0  0.0
83  19  1.003  0.0  0.0
84  19  0.8797  0.0  0.0
85  19  0.9045  0.0  0.0
86  19  0.8287  0.0312  0.0312
87  19  0.8861  0.0312  0.0281
88  18  0.8623  0.0312  0.025
89  19  2.5464  0.0  0.0
90  19  0.8666  0.0  0.0
91  19  0.8887  0.0  0.0
92  19  0.8883  0.0625  0.0609
93  19  0.9309  0.0  0.0
94  19  2.9179  0.0  0.0
95  19  0.826  0.0938  0.075
96  19  0.8535  0.0312  0.0312
97  19  0.8761  0.0312  0.0296
98  19  0.5945  0.0  0.0
99  19  0.871  0.0  0.0
100  19  0.9052  0.0  0.0
