time,Threads,DataSize,SwSize,TimeOut,LostRate,ErrorRate
1618733003,10,1024,10,5000,1000,1000
1618733279,10,1024,10,5000,100,100
1618733510,10,2048,10,5000,100,100
1618733636,10,3072,10,5000,100,100
1618733696,10,4096,10,5000,100,100
1618733764,10,512,10,5000,100,100
1618738182,10,512,10,5000,100,100
1618738327,10,1024,10,5000,100,100
1618738390,10,1536,10,5000,100,100
1618738441,10,2048,10,5000,100,100
1618738492,10,2560,10,5000,100,100
1618738528,10,3072,10,5000,100,100
1618738563,10,3584,10,5000,100,100
1618738608,10,4096,10,5000,100,100
1618739861,10,4096,2,5000,100,100
1618739919,10,4096,2,5000,100,100
1618739986,10,4096,3,5000,100,100
1618739997,10,4096,4,5000,100,100
1618740009,10,4096,5,5000,100,100
1618740020,10,4096,6,5000,100,100
1618740051,10,4096,7,5000,100,100
1618740062,10,4096,8,5000,100,100
1618740089,10,4096,9,5000,100,100
1618740133,10,4096,10,5000,100,100
1618740159,10,4096,11,5000,100,100
1618740891,10,4096,6,1000,100,100
1618740904,10,4096,6,2000,100,100
1618741032,10,4096,6,3000,100,100
1618741079,10,4096,6,1000,20,20
1618741174,10,4096,6,1000,50,50
1618741216,10,4096,6,2000,50,50
1618741232,10,4096,6,3000,50,50
1618741249,10,4096,6,4000,50,50
1618741272,10,4096,6,5000,50,50
1618741333,10,4096,6,6000,50,50
1618741363,10,4096,6,7000,50,50
1618741410,10,4096,6,8000,50,50
1618742122,10,4096,6,4000,1000,50
1618742131,10,4096,6,4000,100,50
1618742183,10,4096,5,4000,100,50
1618742204,10,4096,4,4000,100,50
1618742219,10,4096,4,3000,100,50
1618742243,10,4096,4,4000,100,50
1618742263,10,4096,4,4000,100,1000
1618742321,10,4096,4,4000,100,1000
1618742333,10,4096,4,4000,90,1000
1618742344,10,4096,4,4000,80,1000
1618742351,10,4096,4,4000,70,1000
1618742362,10,4096,4,4000,60,1000
1618742371,10,4096,4,4000,50,1000
1618742378,10,4096,4,4000,40,1000
1618742387,10,4096,4,4000,30,1000
1618742397,10,4096,4,4000,20,1000
1618742424,10,4096,4,4000,10,1000
1618742889,10,4096,4,4000,100,1000
1618742901,10,4096,4,4000,50,1000
1618742922,10,4096,4,4000,33,1000
1618742932,10,4096,4,4000,25,1000
1618742992,10,4096,4,4000,17,1000
1618743036,10,4096,4,4000,14,1000
1618743131,10,4096,4,4000,13,1000
1618743193,10,4096,4,4000,11,1000
1618743266,10,4096,4,4000,10,1000
1618743347,10,4096,4,4000,5,1000
1618744444,10,4096,4,4000,1000,100
1618744488,10,4096,4,4000,1000,50
1618744509,10,4096,4,4000,1000,55
1618744534,10,4096,4,4000,1000,33
1618744567,10,4096,4,4000,1000,25
1618744603,10,4096,4,4000,1000,20
1618744668,10,4096,4,4000,1000,17
1618744701,10,4096,4,4000,1000,14
1618744730,10,4096,4,4000,1000,13
1618744785,10,4096,4,4000,1000,11
1618744877,10,4096,4,4000,1000,10
1618744964,10,4096,4,4000,1000,5
1618757850,10,4096,4,4000,1000,5
1618757850,10,4096,4,4000,1000,5
1618757853,10,4096,4,4000,1000,5
1618757965,10,4096,4,4000,50,50
1618757965,10,4096,4,4000,50,50
1618757967,10,4096,4,4000,50,50
1618758041,10,4096,4,4000,50,50
1618758041,10,4096,4,4000,50,50
1618758041,10,4096,4,4000,50,50
1618758113,10,4096,4,4000,50,50
1618758113,10,4096,4,4000,50,50
1618758113,10,4096,4,4000,50,50
1618758113,10,4096,4,4000,50,50
1618758116,10,4096,4,4000,50,50
1618758116,10,4096,4,4000,50,50
1618758116,10,4096,4,4000,50,50
1618758116,10,4096,4,4000,50,50
1618758440,10,4096,4,4000,50,50
1618758440,10,4096,4,4000,50,50
1618758440,10,4096,4,4000,50,50
1618758444,10,4096,4,4000,50,50
1618758444,10,4096,4,4000,50,50
1618758444,10,4096,4,4000,50,50
1618758444,10,4096,4,4000,50,50
1618758556,10,4096,4,10000,50,50
1618758556,10,4096,4,10000,50,50
1618758556,10,4096,4,10000,50,50
1618758556,10,4096,4,10000,50,50
1618758558,10,4096,4,10000,50,50
1618758558,10,4096,4,10000,50,50
1618758558,10,4096,4,10000,50,50
1618758634,10,4096,4,10000,50,50
1618758634,10,4096,4,10000,50,50
1618758634,10,4096,4,10000,50,50
1618758637,10,4096,4,10000,50,50
1618758637,10,4096,4,10000,50,50
1618758637,10,4096,4,10000,50,50
1618758722,10,4096,4,2000,50,50
1618758722,10,4096,4,2000,50,50
1618758722,10,4096,4,2000,50,50
1618758726,10,4096,4,2000,50,50
1618758726,10,4096,4,2000,50,50
1618758726,10,4096,4,2000,50,50
1618758821,10,4096,4,7000,50,50
1618758821,10,4096,4,7000,50,50
1618758821,10,4096,4,7000,50,50
1618758823,10,4096,4,7000,50,50
1618758823,10,4096,4,7000,50,50
1618758823,10,4096,4,7000,50,50
1618758999,10,2048,7,7000,50,50
1618758999,10,2048,7,7000,50,50
1618758999,10,2048,7,7000,50,50
1618760061,10,2048,7,7000,50,50
1618760061,10,2048,7,7000,50,50
1618760061,10,2048,7,7000,50,50
1618760063,10,2048,7,7000,50,50
1618760063,10,2048,7,7000,50,50
1618760063,10,2048,7,7000,50,50
1618760451,10,2048,7,7000,50,50
1618760661,10,2048,7,7000,50,50
1618760713,10,2048,7,7000,50,50
